priority,site_name,slug,base_url
1.0,ArwiqaforResearchandPublishing,arwiqa_for_research_and_publishing,
1.0,AlmaUPress,almau_press,
1.0,AcademyofSciencesofTurkmenistan,academy_of_sciences_of_turkmenistan,
1.0,KazakhNationalAgrarianResearchUniversityKazNARUPress,kazakh_national_agrarian_research_university_kaznaru_press,
1.0,MagtymgulyTurkmenStateUniversityPublications,magtymguly_turkmen_state_university_publications,
1.0,ElmPublishingHouse,elm_publishing_house,
1.0,UnitedArabEmiratesUniversityPublications,united_arab_emirates_university_publications,
1.0,CollegeoftheMarshallIslandsPublications,college_of_the_marshall_islands_publications,
1.0,AlHaq,al_haq,https://www.alhaq.org/
1.0,UniversidaddeMontevideo,universidad_de_montevideo,
1.0,RSUHPress,rsuh_press,
1.0,EADH,eadh,
1.0,UniversidadeEduardoMondlaneUEM,universidade_eduardo_mondlane_uem,https://repositorio.uem.mz/
1.0,UniversityofSierraLeonePublications,university_of_sierra_leone_publications,
1.0,TabrizIslamicArtUniversity,tabriz_islamic_art_university,
1.0,TSUPress,tsu_press,
1.0,UniversityofGhanaPress,university_of_ghana_press,
1.0,EditorialURSS,editorial_urss,
1.0,UniversityofBenghaziScientificJournals,university_of_benghazi_scientific_journals,
1.0,UniversityofZimbabwePress,university_of_zimbabwe_press,
1.0,MongolianUniversityofScienceandTechnology,mongolian_university_of_science_and_technology,
1.0,Ilim,ilim,
1.0,AcademyofSciencesandArtsofBosniaandHerzegovina,academy_of_sciences_and_arts_of_bosnia_and_herzegovina,
1.0,UniversidadeNacionalTimorLorosae,universidade_nacional_timor_lorosa_e,
1.0,AUIBPress,auib_press,
1.0,IUPAC,iupac,
1.0,SanResearchCentreUniversityofBotswana,san_research_centre_university_of_botswana,
1.0,UniversityofthePhilippinesDepartmentofLinguistics,university_of_the_philippines_department_of_linguistics,
1.0,ArabAcademyofDamascus,arab_academy_of_damascus,
1.0,ICUPublishing,icu_publishing,
1.0,DaikPress,daik_press,
1.0,UniversityofSzegedPress,university_of_szeged_press,
1.0,AcademyofAthensPress,academy_of_athens_press,
1.0,EditorialUSB,editorial_usb,
1.0,CollegeofMicronesiaFSMPublications,college_of_micronesia_fsm_publications,
1.0,UniversidadedeCaboVerdePublications,universidade_de_cabo_verde_publications,
1.0,IslamicUniversityofMaldivesCenterforResearchandPublication,islamic_university_of_maldives_center_for_research_and_publication,
1.0,PiterPublishing,piter_publishing,
1.0,AfricanTrainingandResearchCentreinAdministrationforDevelopmentCAFRAD,african_training_and_research_centre_in_administration_for_development_cafrad,http://www.cafrad.org/publications/
1.0,SherubtseCollegePublications,sherubtse_college_publications,
