territory,platform,seller_id,title,author,condition,price,listing_url,timestamp,seller_comments
India,Book Share,Gigio,How to be a supervillain,Michael Fry,Free to Share,Free to Share,https://bookshare.wiktait.com/book/521,2026-05-03T20:45:24.639343,
India,Book Share,bookletin,Think and Grow Rich,Napoleon Hill,For Reference,For Reference,https://bookshare.wiktait.com/book/490,2026-05-03T20:45:24.639402,
India,Book Share,bookletin,Focus The Hidden Driver of Excellence,Daniel Goleman,Free to Share,Free to Share,https://bookshare.wiktait.com/book/489,2026-05-03T20:45:24.639461,
India,Book Share,bookletin,Zero to one,Peter Thiel,Free to Share,Free to Share,https://bookshare.wiktait.com/book/487,2026-05-03T20:45:24.639522,1st
India,Book Share,كرارودام,كتاب نشاط للصف الأول,رقيه حمزه,For Reference,For Reference,https://bookshare.wiktait.com/book/484,2026-05-03T20:45:24.639583,رياضيات
India,Book Share,Dx,The Da Vinci Code,Dan Brown,For Sale,For Sale,https://bookshare.wiktait.com/book/432,2026-05-03T20:45:24.639648,2003
India,Book Share,Otrębus,Sex in the woods,Łukasz Łuczaj,Free to Share,Free to Share,https://bookshare.wiktait.com/book/431,2026-05-03T20:45:24.639710,1
India,Book Share,Kolaczek,The Thing with Feathers,Noah Strycker,Free to Share,Free to Share,https://bookshare.wiktait.com/book/430,2026-05-03T20:45:24.639772,
India,Book Share,darsh,Light on the yoga sutras of Patanjali,BKS IYENGAR,Free to Share,Free to Share,https://bookshare.wiktait.com/book/414,2026-05-03T20:45:24.639835,
India,Book Share,swekit,A textbook of physical chemistry,Op tandon,For Donation,For Donation,https://bookshare.wiktait.com/book/350,2026-05-03T20:45:24.639933,
India,Book Share,magician,7 Unpredictable results,Hasit Parmar,Free to Share,Free to Share,https://bookshare.wiktait.com/book/348,2026-05-03T20:45:24.640005,1
India,Book Share,Sree,The magic drum and othrt favourire stories,Sudha murty,Free to Share,Free to Share,https://bookshare.wiktait.com/book/339,2026-05-03T20:45:24.640051,
India,Book Share,Sree,Short storiy by Benyamin,Benyamin,Free to Share,Free to Share,https://bookshare.wiktait.com/book/338,2026-05-03T20:45:24.640103,8
India,Book Share,Sree,Khasakkinte Ithihasam,ഒ വി വിജയൻ,Free to Share,Free to Share,https://bookshare.wiktait.com/book/330,2026-05-03T20:45:24.640152,
India,Book Share,jeff,The sea of monsters,Rick,Free to Share,Free to Share,https://bookshare.wiktait.com/book/324,2026-05-03T20:45:24.640198,2004
India,Book Share,Sree,Ardhanari,"Perumal murukan, shafi cherumavilayi",Free to Share,Free to Share,https://bookshare.wiktait.com/book/318,2026-05-03T20:45:24.640245,2
India,Book Share,Nipun,Understanding Oracle Apex Application Development,Edward Sciore,Free to Share,Free to Share,https://bookshare.wiktait.com/book/317,2026-05-03T20:45:24.640290,2
India,Book Share,Gui,Radical Markets,Posner,Free to Share,Free to Share,https://bookshare.wiktait.com/book/316,2026-05-03T20:45:24.640337,
India,Book Share,Sookte,Rich Dad Poor Dad,Robert T. Kiyosaki,For Reference,For Reference,https://bookshare.wiktait.com/book/314,2026-05-03T20:45:24.640384,1st
India,Book Share,Ma,English,Erin Hunter,Free to Share,Free to Share,https://bookshare.wiktait.com/book/303,2026-05-03T20:45:24.640430,U
India,Book Share,kama28083,Stalker,R. D. Hero,Free to Share,Free to Share,https://bookshare.wiktait.com/book/298,2026-05-03T20:45:24.640479,
India,Book Share,AKRPJP,Chuvanna kaipathi,Written by Durga Prasad Khatri translated by Mohan D Kangazha,Free to Share,Free to Share,https://bookshare.wiktait.com/book/271,2026-05-03T20:45:24.640527,
India,Book Share,Sree,Velichappadinte bharya,Ravichandran C.,Free to Share,Free to Share,https://bookshare.wiktait.com/book/286,2026-05-03T20:45:24.640594,3
India,Book Share,AKRPJP,The Blue Umbrella,Ruskin Bond,Free to Share,Free to Share,https://bookshare.wiktait.com/book/3,2026-05-03T20:45:24.640641,
India,Book Share,juba,The Miracle Morning,,For Sale,For Sale,https://bookshare.wiktait.com/book/296,2026-05-03T20:45:24.640687,
India,Book Share,Sree,Ormakalude Bhramanapadham,"Nambi Narayanan, Prajesh Sen",Free to Share,Free to Share,https://bookshare.wiktait.com/book/294,2026-05-03T20:45:24.640745,2
India,Book Share,Sree,Ponni,Malayattoor Ramakrishnan,Free to Share,Free to Share,https://bookshare.wiktait.com/book/293,2026-05-03T20:45:24.640791,July 2008
India,Book Share,vbnnnh,about face,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/292,2026-05-03T20:45:24.640836,
India,Book Share,test,The legend's of india,Ms Shivendra singh,Free to Share,Free to Share,https://bookshare.wiktait.com/book/291,2026-05-03T20:45:24.640915,Abc
India,Book Share,victor,To kill a mockingbird,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/290,2026-05-03T20:45:24.640968,
India,Book Share,victor,To kill. Mockingbird,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/289,2026-05-03T20:45:24.641013,
India,Book Share,T,Inside seal Team Six,Howard E Wassden,Free to Share,Free to Share,https://bookshare.wiktait.com/book/288,2026-05-03T20:45:24.641056,
India,Book Share,nico,Din avis,Daghoejskolen,Free to Share,Free to Share,https://bookshare.wiktait.com/book/287,2026-05-03T20:45:24.641100,DECEMBER
India,Book Share,Sree,Ente priyappetta kathakal,C. V . Balakrishnan,Free to Share,Free to Share,https://bookshare.wiktait.com/book/285,2026-05-03T20:45:24.641145,5
India,Book Share,Sree,Kunnolamundallo Bhoothakalakkulir,Deepa Nisanth,Free to Share,Free to Share,https://bookshare.wiktait.com/book/284,2026-05-03T20:45:24.641189,1
India,Book Share,MG,ANNE FRANK The Diary of a Young Girl,Otto H Frank and Miriam Pressler,Free to Share,Free to Share,https://bookshare.wiktait.com/book/281,2026-05-03T20:45:24.641234,
India,Book Share,Ann,International Business,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/280,2026-05-03T20:45:24.641279,
India,Book Share,Ann,Database Management Systems,,For Reference,For Reference,https://bookshare.wiktait.com/book/279,2026-05-03T20:45:24.641321,
India,Book Share,Ann,Mathematics II,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/278,2026-05-03T20:45:24.641379,
India,Book Share,MG,Chocolat,Joanne Harris,Free to Share,Free to Share,https://bookshare.wiktait.com/book/283,2026-05-03T20:45:24.641424,2000
India,Book Share,MG,Together with French,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/282,2026-05-03T20:45:24.641466,First Edition
India,Book Share,Ann,Object oriented programming in cpp,,For Sale,For Sale,https://bookshare.wiktait.com/book/277,2026-05-03T20:45:24.641509,
India,Book Share,Ann,Fundamentals of Mathematics,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/276,2026-05-03T20:45:24.641550,
India,Book Share,mike,The Healing Code,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/275,2026-05-03T20:45:24.641592,
India,Book Share,,Madol doowa,Martin wikramasinghe,For Reference,For Reference,https://bookshare.wiktait.com/book/274,2026-05-03T20:45:24.641633,
India,Book Share,Sree,The Alchemist,Paulo Coelho,Free to Share,Free to Share,https://bookshare.wiktait.com/book/146,2026-05-03T20:45:24.641675,1
India,Book Share,Sree,Orammayude ormakukurippukal,B. Indira,Free to Share,Free to Share,https://bookshare.wiktait.com/book/229,2026-05-03T20:45:24.641716,
India,Book Share,AKRPJP,I'M OK YOU'RE OK,Thomas A Harris,Free to Share,Free to Share,https://bookshare.wiktait.com/book/193,2026-05-03T20:45:24.641758,
India,Book Share,AKRPJP,Parama sakshathkaram,Osho,Free to Share,Free to Share,https://bookshare.wiktait.com/book/198,2026-05-03T20:45:24.641802,
India,Book Share,AKRPJP,Nammude nadodikathakalum ithihyangalum. Vadakkan pattukathakal. Volume 2,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/203,2026-05-03T20:45:24.641867,
India,Book Share,Sree,Arabipponnu,"M. T. Vasudevan nair, N. P. Muhammad",Free to Share,Free to Share,https://bookshare.wiktait.com/book/264,2026-05-03T20:45:24.641946,6
India,Book Share,AKRPJP,Sasthram ethra lalitham volume 1,,For Reference,For Reference,https://bookshare.wiktait.com/book/207,2026-05-03T20:45:24.641992,
India,Book Share,Sree,Madhavikkuttiyude krithikal sampoornam (Vol. 1),Madhavikkutty,Free to Share,Free to Share,https://bookshare.wiktait.com/book/273,2026-05-03T20:45:24.642049,1
India,Book Share,Ryder,The Christmas Carol,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/272,2026-05-03T20:45:24.642094,
India,Book Share,AKRPJP,Mruthyu Kiranam,ദുർഗ പ്രസാദ് ഖത്രി,Free to Share,Free to Share,https://bookshare.wiktait.com/book/2,2026-05-03T20:45:24.642136,13
India,Book Share,AKRPJP,Velutha Chekuthan,എഴുതിയത് ദുർഗ്ഗാപ്രസാദ് ഖത്രി ട്രാൻസ്ലേറ്റഡ് by മോഹൻ ഡി കങ്ങഴ,Free to Share,Free to Share,https://bookshare.wiktait.com/book/17,2026-05-03T20:45:24.642180,11
India,Book Share,Sree,Basheer Sampoorna krithikal (Vol 2),Vaikom Muhammed Basheer,Free to Share,Free to Share,https://bookshare.wiktait.com/book/269,2026-05-03T20:45:24.642225,
India,Book Share,Sree,Basheer Sampoorna Krithikal (vol 1),Vaikom Muhammed Basheer,Free to Share,Free to Share,https://bookshare.wiktait.com/book/268,2026-05-03T20:45:24.642267,
India,Book Share,Sree,Sherlock Holmes Sampoorna Kruthikal,Sir Arthur Conan Doyal,Free to Share,Free to Share,https://bookshare.wiktait.com/book/267,2026-05-03T20:45:24.642309,4
India,Book Share,Sree,Prakrithi chikilsa,Prof. Dr. R. Gopimony,Free to Share,Free to Share,https://bookshare.wiktait.com/book/266,2026-05-03T20:45:24.642350,
India,Book Share,Sree,Sudarsanam,Prof. Dr. N. S. Narayanan Nair,Free to Share,Free to Share,https://bookshare.wiktait.com/book/265,2026-05-03T20:45:24.642393,
India,Book Share,Sree,Athisayam thanne bahirakasam,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/263,2026-05-03T20:45:24.642435,1
India,Book Share,Sree,Theepakshi,Translation by Omana,Free to Share,Free to Share,https://bookshare.wiktait.com/book/262,2026-05-03T20:45:24.642476,1
India,Book Share,Sree,Panchathanthrakadhakal,Vishnu Sharma. Retold by Sumangala,Free to Share,Free to Share,https://bookshare.wiktait.com/book/261,2026-05-03T20:45:24.642518,2
India,Book Share,Sree,Eminent Scientists,Jiji James,Free to Share,Free to Share,https://bookshare.wiktait.com/book/260,2026-05-03T20:45:24.642570,
India,Book Share,Sree,Kerala sthalavinjanakosham,Kottayam Baburaj,For Reference,For Reference,https://bookshare.wiktait.com/book/259,2026-05-03T20:45:24.642615,4
India,Book Share,Sree,Writing visual basic controls using Visual C++,"Gulzar N Elavia, Sukumar Shetty, Ranjitkumar Gopi",Free to Share,Free to Share,https://bookshare.wiktait.com/book/258,2026-05-03T20:45:24.642657,1
India,Book Share,Sree,Engineering chemistry,Jain & Jain,Free to Share,Free to Share,https://bookshare.wiktait.com/book/257,2026-05-03T20:45:24.642699,13
India,Book Share,Sree,Operation Research,L. R. Potti,Free to Share,Free to Share,https://bookshare.wiktait.com/book/256,2026-05-03T20:45:24.642740,
India,Book Share,Sree,Yugachakravarthini Indira Gandhi,Parasuvaikal sukumaran nair,Free to Share,Free to Share,https://bookshare.wiktait.com/book/255,2026-05-03T20:45:24.642783,1
India,Book Share,Sree,Vedangalude Nadu,E. M. S. Namboodiripad,Free to Share,Free to Share,https://bookshare.wiktait.com/book/254,2026-05-03T20:45:24.642825,1
India,Book Share,Sree,Ayurvedathiloode arogya samrakshnam,Dr. K. Muraleedharan pillai,Free to Share,Free to Share,https://bookshare.wiktait.com/book/253,2026-05-03T20:45:24.642867,5
India,Book Share,Sree,Ksruthi quiz (General Knowledge),T. K. Kochunarayanan,Free to Share,Free to Share,https://bookshare.wiktait.com/book/252,2026-05-03T20:45:24.642943,1
